stock_id,r_squared,valid_count,invalid_count,incomplete_count
000897.SZ,-0.0072,4438,1963,1
000898.SZ,0.3406,8899,1473,4
000899.SZ,-0.0687,1298,1513,4
000900.SZ,0.1042,2810,2015,3
000901.SZ,0.1335,17722,532,8
000902.SZ,0.2469,13665,1859,5
000903.SZ,0.0780,43567,67,10
000905.SZ,0.0667,4322,1912,4
000906.SZ,0.2756,5304,2109,2
000908.SZ,0.1549,23531,176,9
000909.SZ,0.1287,5345,2105,2
000910.SZ,0.2696,16522,1090,4
000912.SZ,0.2136,12565,1056,10
000913.SZ,0.1798,9649,1855,4
000915.SZ,0.2123,9404,1834,5
000917.SZ,0.1814,12478,1148,6
000918.SZ,0.3621,3351,2145,3
000919.SZ,0.1848,3415,2008,4
000920.SZ,0.1788,4290,2248,2
000921.SZ,0.1854,18201,956,6
000922.SZ,0.1407,3153,2011,3
000923.SZ,0.2162,6192,2061,2
000925.SZ,0.1989,4616,2121,5
000926.SZ,0.0892,3138,1981,2
000928.SZ,0.2260,8581,1606,5
000929.SZ,-0.1372,2732,1970,1
000930.SZ,0.1544,30070,151,17
000931.SZ,0.1323,7230,1746,5
000932.SZ,0.1651,14290,1016,5
000933.SZ,0.2044,15841,797,4
000935.SZ,0.1393,8242,1689,6
000936.SZ,0.1649,15478,584,8
000937.SZ,0.1155,6196,1961,3
000938.SZ,0.0472,25634,83,10
000948.SZ,0.2204,8131,1799,7
000949.SZ,0.2196,5565,1706,5
000950.SZ,0.1025,8666,1350,4
000951.SZ,-0.0014,14896,1155,4
000952.SZ,0.0622,3860,2011,3
000955.SZ,0.2403,12723,1125,8
000957.SZ,0.3013,8784,1956,4
000958.SZ,0.2611,7746,2044,3
000959.SZ,0.2668,10465,1510,3
000960.SZ,0.1050,11138,1371,4
000961.SZ,0.1766,22369,397,13
000962.SZ,0.2768,6271,2135,3
000963.SZ,0.1396,25415,196,12
000965.SZ,0.4063,5613,2167,4
000966.SZ,-0.1120,3785,1962,5
000967.SZ,0.3470,12246,1406,5
000968.SZ,0.0452,7770,1726,5
000969.SZ,0.1723,10684,1639,2
000970.SZ,0.1104,13519,796,5
000973.SZ,0.2084,24732,2815,1
000975.SZ,0.1787,32009,142,17
000976.SZ,0.2828,15006,1329,5
000977.SZ,0.1371,47231,16,20
000978.SZ,0.0478,3226,1910,4
000980.SZ,0.0088,4501,1709,5
000983.SZ,0.1297,8613,1373,3
000985.SZ,0.2647,2611,1572,1
000987.SZ,0.0907,29206,47,14
000988.SZ,0.1481,15132,620,8
000989.SZ,0.2843,8852,1818,3
000990.SZ,0.2242,14614,1452,5
000993.SZ,0.0494,7505,9050,5
000996.SZ,0.1169,12024,1550,7
000997.SZ,0.1495,14294,664,7
000998.SZ,0.1171,65542,20,41
000999.SZ,0.1725,11423,1290,5
001696.SZ,0.2124,21669,381,11
001872.SZ,0.1646,8803,1794,3
001896.SZ,-0.0445,4638,2276,3
001914.SZ,0.2167,13743,1337,4
